"","PLT_CN","C.storage","N.storage","depth","m.C.storage","m.N.storage","m.depth","pH_H2O","pH_CaCl2","m.Na.storage","m.K.storage","m.Mg.storage","m.Ca.storage","m.Al.storage","m.Mn.storage","m.Fe.storage","m.Ni.storage","m.Cu.storage","m.Zn.storage","m.Cd.storage","m.Pb.storage","m.S.storage","m.BrayP.storage","m.OlsenP.storage"
"135",2401198010690,3.46618950005556,0.249262432594444,20.4445,3.3562,0.24671,20,8.17,7.59,4182.578,35592.38,55003.76,1044899.8,0,281.792,157.25,0,0,0,0,92.204,1938.866,59.9572,2098.848
"136",2401922010690,2.364705888,0.221430922266667,20.0846666666667,2.173324,0.218336,20,8.11,7.59,3026.832,22162.028,51509.336,940439.288,0,96.772,0,0,0,0,3.004,0,2297.836,1042.2692,302.9184
"137",2403261010690,18.3293481872222,1.45030744483889,22.3495,17.339,1.39454,20,6.815,6.205,0,118349.882,60171.097,893843.721,49.572,440.774,0,0,0,13.048,-1.864,37.28,1887.224,30170.9334,10764.0365
"138",2403401010690,6.70121784444444,0.492677395555556,20.8466666666667,6.35976,0.4836,20,6.74,6.08,686.616,63883.104,43779.36,515284.8,0,2112.384,0,0,0,12.096,5.76,69.072,693.432,1103.0064,394.5168
"139",2404318010690,5.84014150222222,0.408741692222222,22.6246666666667,4.43465,0.342342,20,6.63,6.11,3271.421,44572.35,56935.11,453524.2,662.649,587.265,0,0,0,54.894,4.36,204.336,582.421,1209.7208,594.8569
"140",2404527010690,9.774497459375,0.7345302957875,22.3071666666667,9.36747,0.720213,20,7.59,7.085,1309.062,130870.79,85338.66,835290.398,0,226.62,0,6.202,0,10.632,0.886,0,1202.47,2047.867,1384.7854
"141",2404963010690,10.161640872,0.764911169303704,22.8786666666667,8.86536,0.7084,20,7.42,7.15,767.354,98139.44,77904.26,717588.018,423.808,446.852,0,0,0,0,2.492,23.408,2380.35,26059.1282,10064.9458
"142",2406722010690,10.8466368054074,0.7885183934,22.4976666666667,9.79836,0.747728,20,6.175,5.585,485.748,86143.83,48222.427,723383.771,5.895,1761.74,0,0,0,12.493,-1.922,0,1607.932,14425.8092,5563.3138
"143",3642318010690,2.03150906875,0.268142249375,20.3175,1.999844,0.266655,20,7.405,6.775,22204.281,56965.88,46756.25,647518.3,130.72,937.824,0,0,0,11.438,6.212,49.696,14365.708,4044.8536,1102.5094
"144",3642653010690,4.35789748333333,0.161764731333333,21.905,3.621706,0.146981,20,6.295,5.515,3016.277,23661.059,20085.089,267227.6,22.633,2334.566,0,0,0,59.662,40.686,36.561,935.273,4540.4039,1194.081
"145",3644678010690,4.15074389846685,0.36003644995531,11.8415,3.90156132596685,0.349668232044199,10,6.4,6.82,3155.60243093923,37481.9806629834,83822.2232044199,422055.690607735,0,687.067403314917,0,0,0,0,3.6807182320442,0,683.386685082873,861.533447513812,451.624127071823
"146",3645872010690,7.61889349062247,0.299501738629179,22.2436666666667,6.5290817679558,0.274743425414365,20,5.62,4.915,4481.48160220994,23451.7074585635,13430.7774033149,187147.908287293,8618.33077348066,6081.80033149171,0,0,0,115.848839779006,22.6660773480663,0,2013.7464640884,5566.2326961326,4668.65959116022
"147",3646836010690,2.11374429194444,0.187456151944444,20.2751666666667,2.062838,0.186311,20,7.08,6.43,5475.854,26929.926,55109.671,380122.78,4976.854,6783.695,0,0,0,0,36.809,0,893.264,8601.9164,4538.821
