"","PLT_CN","PREVDIA.EM","DIA.EM","PREVDIA.AM","DIA.AM","PREVDIA.EITHER","DIA.EITHER","PREVDIA.OTHER","DIA.OTHER","PREVDIA.TOT","DIA.TOT","PREVSTEM.EM","STEM.EM","PREVSTEM.AM","STEM.AM","PREVSTEM.EITHER","STEM.EITHER","PREVSTEM.OTHER","STEM.OTHER","PREVSTEM.TOT","STEM.TOT","REMPER","prevTPA","TPA","latitude","longitude","elevation","X","C.storage","N.storage","depth","m.C.storage","m.N.storage","m.depth","pH_H2O","pH_CaCl2","m.Na.storage","m.K.storage","m.Mg.storage","m.Ca.storage","m.Al.storage","m.Mn.storage","m.Fe.storage","m.Ni.storage","m.Cu.storage","m.Zn.storage","m.Cd.storage","m.Pb.storage","m.S.storage","m.BrayP.storage","m.OlsenP.storage","map","mat"
"257","92141943010661",37.5,46.9,112.6,125.3,12.2,13.1,0,0,162.3,185.3,5,6,15,16,1,1,0,0,21,23,4.8,126.378966,126.378966,37.161597,-92.673484,1471,3191,14.0387147713333,0.816336505777778,27.5353333333333,5.706,0.4524,20,6.82,6.275,1232,23380,137608,446308,0,2521.6,0,0,0,0,0,0,869.6,NA,NA,1153.63000488281,12.7700004577637
"258","92197844010661",314.7,330.6,0,0,0,0,0,0,314.7,330.6,34,33,0,0,0,0,0,0,34,33,5.3,210.63161,168.505288,36.80028,-90.480978,545,3200,12.69112112,0.57294204,25.08,3.3248,0.2442,20,4.82,4.125,2719,12605,20265,56610,30818,33696,43.2,0,0,330.6,10.8,194.9,3024.5,1376.5,NA,1200.65002441406,14.1800003051758
"259","92201841010661",12.7,17,95.7,102.9,35.8,43,0,0,144.2,162.9,2,2,14,14,5,5,0,0,21,21,5,126.378966,126.378966,39.460288,-93.398279,831,3202,12.6434746013333,0.800381174666667,20.2963333333333,6.6794,0.5148,20,6.575,6.015,2548,66300,134108,924924,0,5733,0,0,0,57.2,13,0,1177.8,NA,NA,1037.66003417969,12.0100002288818
"260","92263086010661",0,0,12.8,13.5,238.1,244.6,0,0,250.9,258.1,0,0,2,2,18,18,0,0,20,20,5,120.36092,102.306782,47.503545,-93.175506,1427,3206,21.3572541618171,1.31775236982198,30.541,11.1235828729282,0.823918232044199,20,5.165,4.58,5582.58011049724,49697.1325966851,77636.3093922652,412442.839779005,28189.6132596685,19076.9966850829,1273.1591160221,39.9093922651934,0,1004.35082872928,29.932044198895,24.5232044198895,3145.53922651934,5011.45690607735,NA,721.450012207031,4.01999998092651
"261","92270758010661",202.7,212,0,0,71.6,73.6,0,0,274.3,285.6,22,22,0,0,5,5,0,0,27,27,5,162.487242,150.45115,47.473484,-93.72711,1423,3207,23.1754397898158,0.946006565718232,27.0485,6.98937403314917,0.343571270718232,20,5.77,5.17,2094.25966850829,39585.0994475138,30319.6077348066,408256.093922652,2715.80662983425,13854.5756906077,75.0613259668508,0,0,419.509944751381,44.8613259668508,15.1,1567.73370165746,NA,NA,702.77001953125,4.07999992370605
"262","92282054010661",0,0,44.4,48.8,262.4,277.2,0,0,306.8,326,0,0,6,6,35,35,0,0,41,41,5,246.739886,252.757932,48.188134,-93.47949,1258,3209,9.04367365037037,0.38924739,24.3391666666667,3.876,0.2082,20,5.09,4.59,1970,9702,14909,200900,6484,10817.4,386.5,0,0,241.7,9.3,0,1224.9,4308.3,NA,681.349975585938,3.60999989509583
"263","92638688010661",6.8,12.7,0,0,23.5,34.8,0,0,30.3,47.5,1,2,0,0,3,4,0,0,4,6,4.2,30.09023,42.126322,47.856653,-94.657425,1261,3217,16.9958736158333,0.822266668055556,26.7945,4.678,0.2691,20,6.105,5.68,1733,17752,45565,403888,295,3065,248.9,0,0,0,0,0,1417.4,NA,NA,646.359985351562,3.90000009536743
"264","92642935010661",95.1,129.6,0,7.2,0,0,0,0,95.1,136.8,12,15,0,1,0,0,0,0,12,16,4.2,72.216552,96.288736,47.366727,-94.840968,1514,3219,32.1705394961111,1.08947728814815,26.3288333333333,6.3185,0.371,20,5.135,4.61,1860,16810,42730,320995,12405,9952.5,1554,8,0,332.5,8,0,1691,4740,NA,654.359985351562,4.26000022888184
"265","92649670010661",11.7,17.3,0,0,335.7,389.9,0,0,347.4,407.2,2,3,0,0,48,53,0,0,50,56,4.9,306.920346,324.974484,48.575511,-94.434604,1280,3220,36.3412942594997,1.4818926240485,27.747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,658.280029296875,3.5
"266","92654449010661",42.9,43.9,0,0,11.9,6.5,0,0,54.8,50.4,4,4,0,0,2,1,0,0,6,5,5.1,36.108276,24.072184,48.230977,-92.931626,1348,3221,14.9023682841498,0.792808383744629,26.4346666666667,10.2680784530387,0.637561325966851,20,5.43,4.995,7019.63535911602,62187.8784530387,152145.513812155,667796.751381215,3205.98895027624,9909.39281767956,511.597790055249,526.549723756906,0,361.347513812155,51.9828729281768,14.4,2111.75138121547,2291.90552486188,NA,698.27001953125,3.50999999046326
